id,order_number,partner_order_id,status,source,shop_name,total_price,created_at,shipped_at,created_by,shipped_by,fulfillment_time,fulfillment_time_secs
T3JkZXI6NTAwNzc2MDQ2,OR24081764948,OR24081764948,pending,api,develop.pharmaciaty.com,66.75,2024-08-15 05:56:06,,Arthur Develop Agratina,,,
T3JkZXI6NTAwNzc2ODg4,OR24081133238,OR24081133238,pending,api,develop.pharmaciaty.com,66.75,2024-08-15 06:00:09,,Arthur Develop Agratina,,,
T3JkZXI6NTAwNzg2NTc4,OR24081102195,OR24081102195,canceled,api,develop.pharmaciaty.com,66.7500,2024-08-15 06:20:06,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODEwNjk5,OR24087994345,OR24087994345,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 08:23:47,,Arthur Staging Agratina,,,
T3JkZXI6NTAwODI5MTI3,OR24087735977,OR24087735977,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 10:10:50,,Arthur Staging Agratina,,,
T3JkZXI6NTAwODI5ODI3,OR24081544948,OR24081544948,pending,api,develop.pharmaciaty.com,66.75,2024-08-15 10:14:06,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODMxNTI3,OR24081666976,OR24081666976,pending,api,develop.pharmaciaty.com,66.75,2024-08-15 10:21:07,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODMyMTY4,OR24081775685,OR24081775685,pending,api,develop.pharmaciaty.com,386.58,2024-08-15 10:24:05,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODMyNTQ2,OR24087301055,OR24087301055,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 10:25:42,,Arthur Staging Agratina,,,
T3JkZXI6NTAwODUzOTQ4,OR24081641013,OR24081641013,pending,api,develop.pharmaciaty.com,386.58,2024-08-15 11:48:07,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODU1MDc5,OR24081648053,OR24081648053,fulfilled,api,develop.pharmaciaty.com,66.7500,2024-08-15 11:52:07,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODg2MTA3,OR24081435138,OR24081435138,fulfilled,api,develop.pharmaciaty.com,66.7500,2024-08-15 13:33:07,,Arthur Develop Agratina,,,
T3JkZXI6NTAwODg3NjMx,OR24081762292,OR24081762292,fulfilled,api,staging.pharmaciaty.com,15.75,2024-08-15 13:36:44,,Arthur Staging Agratina,,,
T3JkZXI6NTAwOTc2NzU5,OR24087177474,OR24087177474,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 17:25:47,,Arthur Staging Agratina,,,
T3JkZXI6NTAwOTk5MzYw,OR24087102134,OR24087102134,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 18:22:47,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMDAyMzE1,OR24087792394,OR24087792394,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 18:32:43,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMDA1MTYz,OR24087894937,OR24087894937,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 18:42:44,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMDA1MTY3,OR24087179075,OR24087179075,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 18:42:45,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMDkyMTg2,OR24087514196,OR24087514196,pending,api,staging.pharmaciaty.com,73.75,2024-08-15 22:49:47,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMjM5NjMx,OR24087412649,OR24087412649,pending,api,staging.pharmaciaty.com,73.75,2024-08-16 09:23:40,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMjM5ODAx,OR24087183024,OR24087183024,pending,api,staging.pharmaciaty.com,73.75,2024-08-16 09:24:41,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMjQ0MTQ3,OR24087213830,OR24087213830,pending,api,staging.pharmaciaty.com,73.75,2024-08-16 10:00:44,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMjcwMzc3,OR24082512538,OR24082512538,pending,api,staging.pharmaciaty.com,138.00,2024-08-16 12:42:47,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMzI3MzQ3,OR24087587080,OR24087587080,pending,api,staging.pharmaciaty.com,73.75,2024-08-16 15:54:39,,Arthur Staging Agratina,,,
T3JkZXI6NTAxMzI4MTE0,OR24087861152,OR24087861152,pending,api,staging.pharmaciaty.com,73.75,2024-08-16 15:57:42,,Arthur Staging Agratina,,,
